Matched_Agency_clean,Department_display,Num_Covid_Rows,Covid_Initiatives,Sum_Initiative Detailed,Sum_Budget 2021,Sum_Spent 2021,Sum_Budget 2022,Sum_Spent 2022
board of elections,BOARD OF ELECTIONS,1,Covid Response - City Operations,0,120006,120006,0,0
department for the aging,DEPARTMENT FOR THE AGING,1,Covid Response - City Operations,0,44151,0,0,0
department of buildings,DEPARTMENT OF BUILDINGS,2,Covid Response - Public Programs | Covid Response - City Operations,0,927774,0,1200000,1107657
department of correction,DEPARTMENT OF CORRECTION,2,Covid Response - City Operations,-19,676233,0,533324540,0
department of education,DEPARTMENT OF EDUCATION,1,Covid Response - Public Programs,0,0,0,0,0
department of emergency management,DEPARTMENT OF EMERGENCY MANAGEMENT,3,Covid Response - City Operations | Covid Response - Public Programs,0,258528,232098,1333080,1333079
department of health and mental hygiene,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2,Covid Response - City Operations | Covid Response - Public Programs,0,2026,0,0,0
department of probation,DEPARTMENT OF PROBATION,2,Covid Response - Public Programs,0,147167,112167,1057833,1057833
department of sanitation,DEPARTMENT OF SANITATION,1,Covid Response - City Operations,0,2919223,2919222,0,0
department of social services,DEPARTMENT OF SOCIAL SERVICES,8,Covid Response - Public Programs | Covid Response - City Operations,0,161923138,155068152,308273401,282313037
department of transportation,DEPARTMENT OF TRANSPORTATION,7,Covid Response - Public Programs | Covid Response - City Operations,0,537640,406000,7569108,6273197
fire department,FIRE DEPARTMENT,2,Covid Response - City Operations | Covid Response - Public Programs,-19,30034490,30034490,510702,510702
mayoralty,MAYORALTY,3,Covid Response - City Operations,0,134328,0,0,0
miscellaneous,MISCELLANEOUS,2,Covid Response - Public Programs,0,3928021,0,40409411,40409411
office of the comptroller,OFFICE OF THE COMPTROLLER,1,Covid Response - City Operations,0,62445,0,0,0
police department,POLICE DEPARTMENT,1,Covid Response - City Operations,0,2914707,0,566500000,566500000
